,pref_name,station_cd,station_g_cd,station_name,line_cd,post,add,lon,lat,open_ymd,close_ymd,e_status,x,y
142,北海道,1110510,1110510,栗山,11105,069-1511,夕張郡栗山町中央３丁目,141.775603,43.058164,,,0,1417756.0299999998,-430581.63999999996
143,北海道,1110511,1110511,栗丘,11105,068-0134,岩見沢市栗沢町栗丘,141.744333,43.085444,,,0,1417443.33,-430854.44
144,北海道,1110512,1110512,栗沢,11105,068-0127,岩見沢市栗沢町本町,141.739743,43.120367,,,0,1417397.43,-431203.67000000004
145,北海道,1110513,1110513,志文,11105,068-0841,岩見沢市志文本町１条４丁目,141.744443,43.158903,,,0,1417444.43,-431589.03
146,北海道,1110514,1110327,岩見沢,11105,068-0034,岩見沢市有明町南,141.75935900000002,43.204201,,,0,1417593.59,-432042.00999999995
147,北海道,1110601,1110335,滝川,11106,073-0031,滝川市栄町４丁目,141.90080700000001,43.555278,,,0,1419008.07,-435552.78
148,北海道,1110602,1110602,東滝川,11106,073-0026,滝川市東滝川,141.98031,43.574037,,,0,1419803.1,-435740.37
149,北海道,1110603,1110603,赤平,11106,079-1134,赤平市泉町１丁目,142.048669,43.555144,,,0,1420486.69,-435551.44
150,北海道,1110604,1110604,茂尻,11106,079-1100,赤平市字茂尻町南２丁目,142.082156,43.537314,,,0,1420821.56,-435373.14
151,北海道,1110605,1110605,平岸,11106,079-1282,北海道赤平市平岸仲町１丁目,142.123872,43.541401,,,0,1421238.72,-435414.01
152,北海道,1110606,1110606,芦別,11106,075-0041,芦別市本町,142.184543,43.516636,,,0,1421845.43,-435166.36
153,北海道,1110607,1110607,上芦別,11106,079-1371,芦別市上芦別町,142.210855,43.48871,,,0,1422108.55,-434887.1
154,北海道,1110608,1110608,野花南,11106,079-1372,芦別市野花南町,142.261772,43.474418,,,0,1422617.72,-434744.18
155,北海道,1110609,1110609,島ノ下,11106,076-0036,富良野市字島ノ下,142.350406,43.3744,,,0,1423504.0599999998,-433744.0
156,北海道,1110610,1110610,富良野,11106,076-0025,富良野市日の出町,142.391374,43.347114000000005,,,0,1423913.7400000002,-433471.1400000001
157,北海道,1110611,1110611,布部,11106,076-0004,富良野市字布部市街地,142.40059499999998,43.291990999999996,,,0,1424005.9499999997,-432919.91
158,北海道,1110612,1110612,山部,11106,079-1561,富良野市山部市街地１条通り南１,142.381522,43.244645,,,0,1423815.22,-432446.45
159,北海道,1110613,1110613,下金山,11106,079-2132,空知郡南富良野町字下金山,142.415402,43.197328000000006,,,0,1424154.02,-431973.2800000001
160,北海道,1110614,1110614,金山,11106,079-2131,空知郡南富良野町字金山,142.416201,43.136115000000004,,,0,1424162.01,-431361.15
161,北海道,1110615,1110615,東鹿越,11106,079-2411,空知郡南富良野町東鹿越,142.523472,43.164011,,,0,1425234.72,-431640.11000000004
162,北海道,1110616,1110616,幾寅,11106,079-2401,空知郡南富良野町幾寅仲町,142.56947399999999,43.161582,,,0,1425694.7399999998,-431615.82
163,北海道,1110617,1110617,落合,11106,079-2551,空知郡南富良野町落合,142.669104,43.125054999999996,,,0,1426691.04,-431250.55
164,北海道,1110618,1110618,新得,11106,081-0005,上川郡新得町本通北１丁目,142.832432,43.082501,,,0,1428324.32,-430825.01
165,北海道,1110701,1110618,新得,11107,081-0005,上川郡新得町本通北１丁目,142.832432,43.082501,,,0,1428324.32,-430825.01
166,北海道,1110702,1110702,十勝清水,11107,089-0136,上川郡清水町本通１丁目,142.879535,43.012892,,,0,1428795.35,-430128.92
167,北海道,1110703,1110703,羽帯,11107,089-0356,上川郡清水町字羽帯,142.906646,42.957499,,,0,1429066.46,-429574.99
168,北海道,1110704,1110704,御影,11107,089-0354,上川郡清水町御影本通り１丁目,142.93573899999998,42.942417999999996,,,0,1429357.39,-429424.18
