,company_cd,company_name,company_name_h,company_name_k,company_name_r,company_type,company_url,e_status_x,e_status_y,has_station_data,is_bullet,lat,line_cd,line_name,line_name_h,line_name_k,lon,rr_cd,station_cd1,station_cd2,zoom
87,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141134,1141135,9.0
88,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141135,1141136,9.0
89,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141136,1141137,9.0
90,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141137,1141138,9.0
91,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141138,1141139,9.0
92,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.66247110005526,11411,JR中央本線(名古屋～塩尻),JR中央本線(名古屋～塩尻),チュウオウホンセン,137.46849197656252,11.0,1141139,1141140,9.0
93,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.12564790559256,11413,JR飯田線(豊橋～天竜峡),JR飯田線(豊橋～天竜峡),イイダセン,137.6689493601425,11.0,1141301,1141302,10.0
94,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.12564790559256,11413,JR飯田線(豊橋～天竜峡),JR飯田線(豊橋～天竜峡),イイダセン,137.6689493601425,11.0,1141302,1141303,10.0
95,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.12564790559256,11413,JR飯田線(豊橋～天竜峡),JR飯田線(豊橋～天竜峡),イイダセン,137.6689493601425,11.0,1141303,1141304,10.0
96,3.0,JR東海,東海旅客鉄道株式会社,ジェイアールトウカイ,JR東海,1.0,http://jr-central.co.jp/,0.0,0.0,True,False,35.12564790559256,11413,JR飯田線(豊橋～天竜峡),JR飯田線(豊橋～天竜峡),イイダセン,137.6689493601425,11.0,1141304,1141305,10.0
